ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23001,Подробнее о росте в первые 6 месяцев - вес соответствует длине / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between -2SD to +2SD,"3401, 3341, 3346, 3416",1,published,
23002,Подробнее о росте 7-9 месяцев - вес соответствует длине / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",7-9 months,Height for weight,between -2SD to +2SD,"3406, 3351, 3346, 3416",1,published,
23003,Подробнее о росте 10-12 месяцев - вес соответствует длине / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",10-12 months,Height for weight,between -2SD to +2SD,"3411, 3356, 3346, 3416",1,published,
23004,Подробнее о росте 13-24 месяца - вес соответствует длине / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.",10-12 months,Height for weight,between -2SD to +2SD,"3391, 3386, 3361, 3416",1,published,
23005,Подробнее о росте 25-60 месяцев - вес соответствует длине / росту,"Браво! Ваш ребенок хорошо растет, и его вес гармонирует с его ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за ростом вашего ребенка.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between -2SD to +2SD,"3396, 5891, 3366, 3416",1,published,
23006,Подробнее о росте в первые 6 месяцев - умеренное недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, откорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between  -2 and -3SD,"3401, 3341, 3346, 3416",1,published,
23007,Подробнее о росте 7-9 месяцев -умеренное недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, откорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.",7-9 months,Height for weight,between  -2 and -3SD,"3406, 3351, 3346, 3371",1,published,
23008,Подробнее о росте 10-12 месяцев - умеренное  недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, откорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.",10-12 months,Height for weight,between  -2 and -3SD,"3411, 3356, 3346, 3371",1,published,
23009,Подробнее о росте 13-24 месяца - умеренное  недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, откорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.","13-18 months, 19-24 months",Height for weight,between  -2 and -3SD,"3391, 3386, 3361, 3371",1,published,
23010,Подробнее о росте 25-60 месяцев - умеренное  недоедание,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет умеренную нехватку веса по длине / росту. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или очень неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину, откорректировать уменьшение роста и определить динамику дальнейшего наблюдения за ростом. Необходимо серьезно подумать об улучшении питания вашего ребенка.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between  -2 and -3SD,"3396, 5891, 3366, 3371",1,published,
23011,Подробнее о росте в первые 6 месяцев - серьезное недоедание,"Внимание! У вашего ребенка серьезная нехватка веса в соотношении с ростом. Такая ситуация могла произойти в течение нескольких недель, поэтому подумайте о том, чтобы выяснить некоторые непосредственные причины, причинами могут быть: недавнее заболевание, метаболические и хронические заболевания, недостаточное или неправильное питание, изменения в ближайшем окружении и тд. Обязательно обратитесь к педиатру, чтобы выявить причину и определить как компенсировать потерю веса.","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published,
